x1,y1,z1,x2,y2,z2
9.52E+01,-3.02E+00,1.25E+01,1,77017,77506
9.99E+01,-3.34E+00,1.37E+01,1,550553,567988
9.94E+01,-2.84E+00,1.22E+01,1,550553,568743
9.80E+01,-3.50E+00,1.47E+01,1,550553,569686
9.69E+01,-2.61E+00,1.35E+01,1,550553,570627
9.76E+01,-3.91E+00,1.28E+01,1,550553,571381
9.83E+01,-3.55E+00,1.27E+01,1,550553,572512
1.01E+02,-3.54E+00,1.31E+01,1,550553,573643
9.90E+01,-3.91E+00,1.43E+01,1,550553,574021
9.93E+01,-2.89E+00,1.19E+01,1,550553,575528
9.72E+01,-4.70E+00,1.40E+01,1,551308,581937
9.68E+01,-6.11E+00,1.47E+01,1,551308,583257
9.76E+01,-5.36E+00,1.37E+01,1,551308,584577
9.67E+01,-5.81E+00,1.36E+01,1,551308,585332
9.74E+01,-6.32E+00,1.45E+01,1,551308,586463
9.82E+01,-6.49E+00,1.46E+01,1,551308,587594
9.71E+01,-4.95E+00,1.39E+01,1,551308,589101
9.72E+01,-5.43E+00,1.38E+01,1,551308,590608
9.78E+01,-5.17E+00,1.26E+01,1,551308,591739
9.92E+01,-3.49E+00,1.38E+01,1,552441,576471
1.01E+02,-4.03E+00,1.43E+01,1,552441,577414
1.00E+02,-4.09E+00,1.29E+01,1,552441,578544
9.91E+01,-3.81E+00,1.25E+01,1,552441,579299
9.79E+01,-3.55E+00,1.30E+01,1,552441,580429
9.91E+01,-3.06E+00,1.33E+01,1,552441,581468
9.84E+01,-3.34E+00,1.41E+01,1,552441,581939
9.59E+01,-3.63E+00,1.49E+01,1,552441,583446
9.91E+01,-3.66E+00,1.23E+01,1,552441,584200
9.73E+01,-5.57E+00,1.43E+01,1,552820,593247
9.66E+01,-5.56E+00,1.44E+01,1,552820,594003
9.66E+01,-5.56E+00,1.44E+01,1,552820,595133
9.67E+01,-5.35E+00,1.31E+01,1,552820,596264
9.80E+01,-5.41E+00,1.33E+01,1,552820,597771
9.80E+01,-5.81E+00,1.26E+01,1,552820,598902
9.79E+01,-5.48E+00,1.32E+01,1,552820,600033
9.71E+01,-6.07E+00,1.38E+01,1,552820,600787
9.60E+01,-4.57E+00,1.28E+01,1,552820,601919
9.73E+01,-4.72E+00,1.23E+01,1,552820,603049
1.00E+02,-2.44E+00,1.22E+01,1,553578,585331
9.85E+01,-3.89E+00,1.38E+01,1,553578,586462
9.86E+01,-3.52E+00,1.40E+01,1,553578,587592
1.00E+02,-3.19E+00,1.30E+01,1,553578,588723
9.85E+01,-4.61E+00,1.43E+01,1,553578,589854
9.92E+01,-3.44E+00,1.34E+01,1,553578,590985
9.98E+01,-2.62E+00,1.34E+01,1,553578,592076
9.89E+01,-4.11E+00,1.41E+01,1,553578,592870
1.00E+02,-4.14E+00,1.38E+01,1,553578,593624
1.01E+02,-3.33E+00,1.06E+01,1,553578,594002
9.58E+01,-4.92E+00,1.31E+01,1,554711,604558
9.71E+01,-6.32E+00,1.41E+01,1,554711,606065
9.69E+01,-4.96E+00,1.34E+01,1,554711,606821
9.77E+01,-4.81E+00,1.31E+01,1,554711,608704
9.72E+01,-4.19E+00,1.30E+01,1,554711,610212
9.72E+01,-6.46E+00,1.45E+01,1,554711,611344
9.61E+01,-6.03E+00,1.35E+01,1,554711,613606
9.77E+01,-6.31E+00,1.41E+01,1,554711,615867
1.01E+02,-2.37E+00,9.61E+00,1,556221,595886
1.00E+02,-2.30E+00,1.06E+01,1,556221,597017
9.79E+01,-1.98E+00,1.18E+01,1,556221,598149
1.02E+02,-2.98E+00,1.02E+01,1,556221,599279
1.01E+02,-3.29E+00,1.06E+01,1,556221,600410
9.92E+01,-4.36E+00,1.39E+01,1,556221,601541
1.00E+02,-3.39E+00,1.17E+01,1,556221,601918
9.91E+01,-3.22E+00,1.26E+01,1,556221,602672
1.01E+02,-3.78E+00,1.36E+01,1,556221,603426
9.77E+01,-5.84E+00,1.37E+01,1,559239,617377
9.69E+01,-5.58E+00,1.48E+01,1,559239,618509
9.69E+01,-5.61E+00,1.40E+01,1,559239,620391
9.64E+01,-6.52E+00,1.36E+01,1,559239,621522
9.73E+01,-5.44E+00,1.32E+01,1,559239,622749
9.83E+01,-5.62E+00,1.38E+01,1,559239,624163
9.68E+01,-4.77E+00,1.34E+01,1,559239,625670
9.69E+01,-5.33E+00,1.39E+01,1,559239,626708
9.62E+01,-4.98E+00,1.39E+01,1,559239,628215
9.91E+01,-3.73E+00,1.38E+01,1,559242,606819
1.00E+02,-3.78E+00,1.44E+01,1,559242,607951
9.96E+01,-3.49E+00,1.45E+01,1,559242,609835
9.96E+01,-4.70E+00,1.38E+01,1,559242,611343
9.95E+01,-3.64E+00,1.19E+01,1,559242,612474
1.00E+02,-2.68E+00,1.01E+01,1,559242,613417
1.00E+02,-4.07E+00,1.18E+01,1,559242,614360
1.00E+02,-3.07E+00,1.12E+01,1,559242,615490
1.01E+02,-3.86E+00,1.19E+01,1,559242,616621
9.72E+01,-5.27E+00,1.28E+01,1,559244,629346
9.77E+01,-5.40E+00,1.33E+01,1,559244,630100
9.71E+01,-4.44E+00,1.31E+01,1,559244,630854
9.82E+01,-6.11E+00,1.37E+01,1,559244,632739
9.75E+01,-6.94E+00,1.40E+01,1,559244,633869
9.66E+01,-4.40E+00,1.42E+01,1,559244,635000
9.75E+01,-4.11E+00,1.27E+01,1,559244,636131
9.73E+01,-5.38E+00,1.34E+01,1,559244,636792
9.87E+01,-4.05E+00,1.49E+01,1,559247,618130
9.94E+01,-4.21E+00,1.39E+01,1,559247,619638
9.56E+01,-4.73E+00,1.59E+01,1,559247,620613
9.97E+01,-3.93E+00,1.30E+01,1,559247,621524
1.02E+02,-3.18E+00,1.07E+01,1,559247,623032
9.90E+01,-2.80E+00,1.27E+01,1,559247,624164
1.00E+02,-4.40E+00,1.32E+01,1,559247,625669
9.51E+01,-4.51E+00,1.52E+01,1,559247,626706
9.74E+01,-4.40E+00,1.62E+01,1,559247,628214
9.55E+01,-5.10E+00,1.25E+01,1,559249,638017
9.64E+01,-5.88E+00,1.51E+01,1,559249,639147
9.71E+01,-5.45E+00,1.33E+01,1,559249,640279
9.80E+01,-5.74E+00,1.23E+01,1,559249,641409
9.72E+01,-6.35E+00,1.36E+01,1,559249,641788
9.77E+01,-5.78E+00,1.32E+01,1,559249,643295
9.68E+01,-5.62E+00,1.41E+01,1,559249,644425
9.76E+01,-5.03E+00,1.38E+01,1,559249,645179
9.66E+01,-4.29E+00,1.25E+01,1,559249,645934
1.01E+02,-3.09E+00,1.15E+01,1,559253,632361
9.88E+01,-4.29E+00,1.32E+01,1,559253,633492
1.01E+02,-2.86E+00,1.20E+01,1,559253,634623
1.00E+02,-4.26E+00,1.24E+01,1,559253,635754
9.89E+01,-3.13E+00,1.26E+01,1,559253,636508
1.01E+02,-3.83E+00,1.28E+01,1,559253,637639
9.97E+01,-3.69E+00,1.38E+01,1,559253,638018
9.92E+01,-4.19E+00,1.41E+01,1,559253,639149
9.71E+01,-3.51E+00,1.30E+01,1,559253,640278
9.81E+01,-6.55E+00,1.51E+01,1,559311,696734
9.79E+01,-4.14E+00,1.03E+01,1,559312,695603
9.74E+01,-4.42E+00,1.06E+01,1,559312,696357
9.60E+01,-4.29E+00,1.01E+01,1,559313,695604
9.64E+01,-3.96E+00,1.15E+01,1,559313,696735
9.86E+01,-5.13E+00,1.35E+01,1,559314,697488
